GEOID,NAME,variable,estimate,moe,rank
48201,"Harris County, Texas",pop17,4525519,NA,1
48113,"Dallas County, Texas",pop17,2552213,NA,2
48439,"Tarrant County, Texas",pop17,1983675,NA,3
48029,"Bexar County, Texas",pop17,1892004,NA,4
48453,"Travis County, Texas",pop17,1176584,NA,5
48085,"Collin County, Texas",pop17,914075,NA,6
48215,"Hidalgo County, Texas",pop17,839539,NA,7
48141,"El Paso County, Texas",pop17,834825,NA,8
48121,"Denton County, Texas",pop17,781321,NA,9
48157,"Fort Bend County, Texas",pop17,711421,NA,10
48339,"Montgomery County, Texas",pop17,535187,NA,11
48491,"Williamson County, Texas",pop17,508313,NA,12
48061,"Cameron County, Texas",pop17,420201,NA,13
48355,"Nueces County, Texas",pop17,358484,NA,14
48039,"Brazoria County, Texas",pop17,345995,NA,15
48027,"Bell County, Texas",pop17,336506,NA,16
48167,"Galveston County, Texas",pop17,321184,NA,17
48303,"Lubbock County, Texas",pop17,298042,NA,18
48479,"Webb County, Texas",pop17,269624,NA,19
48245,"Jefferson County, Texas",pop17,254574,NA,20
48309,"McLennan County, Texas",pop17,245720,NA,21
48423,"Smith County, Texas",pop17,222277,NA,22
48041,"Brazos County, Texas",pop17,214231,NA,23
48209,"Hays County, Texas",pop17,194843,NA,24
48139,"Ellis County, Texas",pop17,164092,NA,25
48251,"Johnson County, Texas",pop17,160173,NA,26
48329,"Midland County, Texas",pop17,159883,NA,27
48135,"Ector County, Texas",pop17,155744,NA,28
48187,"Guadalupe County, Texas",pop17,150889,NA,29
48441,"Taylor County, Texas",pop17,135371,NA,30
48485,"Wichita County, Texas",pop17,131778,NA,31
48381,"Randall County, Texas",pop17,130552,NA,32
48091,"Comal County, Texas",pop17,129100,NA,33
48181,"Grayson County, Texas",pop17,126146,NA,34
48367,"Parker County, Texas",pop17,125963,NA,35
48183,"Gregg County, Texas",pop17,123402,NA,36
